L,H,window_id,model,val_origin_start,val_origin_end,n_train,n_val,RMSE,MAE,Directional_Accuracy
42,1,3,Random Forest,2022-03-17,2023-04-06,1772,266,0.019206795105407654,0.014642300626189965,0.5009398496240601
42,1,3,Diffusion,2022-03-17,2023-04-06,1772,266,0.2743423161595624,0.21818816413363007,0.5046992481203008
42,1,4,Random Walk,2022-12-08,2023-12-29,1956,266,0.015259099168727058,0.011735810660004248,0.007518796992481203
42,1,4,Historical Mean,2022-12-08,2023-12-29,1956,266,0.015462767506523862,0.011856698850532458,0.5
42,1,4,AR Linear,2022-12-08,2023-12-29,1956,266,0.015432346211049858,0.011841563171008892,0.49154135338345867
42,1,4,Ridge,2022-12-08,2023-12-29,1956,266,0.01584328262184215,0.012192793705257197,0.49624060150375937
42,1,4,MLP,2022-12-08,2023-12-29,1956,266,0.18975891263520506,0.149620093846379,0.5197368421052632
42,1,4,Random Forest,2022-12-08,2023-12-29,1956,266,0.015243507599504881,0.011677954357716373,0.5131578947368421
42,1,4,Diffusion,2022-12-08,2023-12-29,1956,266,0.31331568002995,0.2466818937936871,0.4868421052631579
42,5,0,Random Walk,2020-01-13,2021-02-01,1219,266,0.07206308860346769,0.04746601164171768,0.0
42,5,0,Historical Mean,2020-01-13,2021-02-01,1219,266,0.07182548849759814,0.04734906137991288,0.5451127819548872
42,5,0,AR Linear,2020-01-13,2021-02-01,1219,266,0.07213501340120512,0.04745993843946155,0.5263157894736842
42,5,0,Ridge,2020-01-13,2021-02-01,1219,266,0.074867212998131,0.05004469273010293,0.5281954887218046
42,5,0,MLP,2020-01-13,2021-02-01,1219,266,0.7548815135813577,0.5194253759450156,0.5159774436090225
42,5,0,Random Forest,2020-01-13,2021-02-01,1219,266,0.07205600859313448,0.04732419465052794,0.5639097744360902
